paper	time	action	journal
1001G	2015-12-18	submission	CELL
1001G	2016-01-29	reviews	CELL
1001G	2016-04-20	submission	CELL
1001G	2016-04-25	accepted	CELL
1001G	2016-04-25	press	CELL
lee_relicts	2016-06-27	submission	eLife
lee_relicts	2016-06-27	rejection	eLife
lee_relicts	2016-07-04	submission	NatureCommunications
lee_relicts	2017-01-03	accepted	NatureCommunications
lee_relicts	2017-02-09	press	NatureCommunications
pseudomonasresponse	2016-04-23	submission	Genetics
pseudomonasresponse	2016-05-13	reviews_minor	Genetics
pseudomonasresponse	2016-06-01	accepted	Genetics
pseudomonasresponse	2016-06-12	press	Genetics
hpg1	2016-04-25	submission	bioRxiv
hpg1	2016-04-27	submission	CELL
hpg1	2016-04-27	reviews	CELL
hpg1	2016-04-27	rejection	CELL
hpg1	2016-07-28	submission	Nature
hpg1	2016-08-29	reviews	Nature
hpg1	2016-08-29	rejection	Nature
hpg1	2016-10-25	submission	NatureGenetics
hpg1	2016-10-31	rejection	NatureGenetics
hpg1	2017-02-08	submission	Nature
hpg1	2017-03-23	reviews	Nature
hpg1	2017-03-23	rejection	Nature
hpg1	2017-04-07	submission	PNAS
hpg1	2017-06-05	reviews	PNAS
hpg1	2017-06-05	rejection	PNAS
hpg1	2017-06-26	submission	eLife
hpg1	2017-07-13	full_submission	eLife
hpg1  2017-08-17  rejection eLife
vasseur_scaling 2016-06-07  submission	Nature
vasseur_scaling 2016-06-23  rejection	Nature
vasseur_scaling 2016-07-00  submission	Science
vasseur_scaling 2016-08-08  reviews	Science
vasseur_scaling 2016-08-08	rejection	Science
vasseur_scaling 2016-11-3  submission	Science
vasseur_scaling 2017-01-24  rejection	Science
vasseur_scaling 2017-06-01  submission	PNAS
vasseur_scaling 2017-06-26  reviews	PNAS
drought_climatechange 2017-03-18  submission  bioRxiv
drought_climatechange 2017-03-07  submission  Science
drought_climatechange 2017-04-19  rejection Science
drought_climatechange 2017-04-20  submission  NatureEcologyEvolution
drought_climatechange 2017-06-13  reviews NatureEcologyEvolution
drought_climatechange 2017-07-14  submission  NatureEcologyEvolution
drought_climatechange 2017-08-14  rejection NatureEcologyEvolution
